varname,varlabel,vartype,keep,is_factor,discretize,brr,round,type,restricted,reserve
STU_ID,Student ID,IDs and weights,0,0,0,0,IDs,ID,0,
SCH_ID,School ID,IDs and weights,0,0,0,0,IDs,ID,1,
X1NCESID,X1 School identification number from CCD or PSS,IDs and weights,0,0,0,0,IDs,X1,1,
X2NCESID,X2 School identification number from CCD or PSS,IDs and weights,0,0,0,0,IDs,X2,1,
STRAT_ID,Stratum,IDs and weights,0,0,0,0,IDs,ID,1,
PSU,Primary sampling unit,IDs and weights,0,0,0,0,IDs,ID,1,
X2UNIV1,X2 Sample member status in BY and F1 rounds,IDs and weights,0,0,0,0,IDs,X2,0,
X2UNIV2A,X2 Base year status and how sample member entered F1 sample,IDs and weights,0,0,0,0,IDs,X2,0,
X2UNIV2B,X2 Sample member F1 status,IDs and weights,0,0,0,0,IDs,X2,0,
X3UNIV1,"X3 Sample member status in BY, F1, U13, and HS transcript rounds",IDs and weights,0,0,0,0,IDs,X3,0,
X4UNIV1,"X4 Sample member status in BY, F1, U13,  HS transcript, and F2 rounds",IDs and weights,0,0,0,0,IDs,X4,0,
W1STUDENT,W1 Base year student analytic weight,IDs and weights,1,0,0,0,IDs,W1,0,
W1PARENT,W1 Base year student home analytic weight,IDs and weights,0,0,0,0,IDs,W1,0,
W1MATHTCH,W1 Base year math-course enrollee analytic weight,IDs and weights,0,0,0,0,IDs,W1,0,
W1SCITCH,W1 Base year science-course enrollee analytic weight,IDs and weights,0,0,0,0,IDs,W1,0,
W2STUDENT,W2 First follow-up student analytic weight,IDs and weights,0,0,0,0,IDs,W2,0,
W2W1STU,W2 First follow-up student longitudinal weight,IDs and weights,0,0,0,0,IDs,W2,0,
W2PARENT,W2 First follow-up student household analytic weight,IDs and weights,0,0,0,0,IDs,W2,0,
W2W1PAR,W2 First follow-up student household longitudinal weight,IDs and weights,0,0,0,0,IDs,W2,0,
W3STUDENT,W3 Student Analytic Weight U13,IDs and weights,0,0,0,0,IDs,W3,0,
W3W1STU,W3 Student Longitudinal Analytic Weight BY-U13,IDs and weights,0,0,0,0,IDs,W3,0,
W3W1W2STU,W3 Student Longitudinal Analytic Weight BY-F1-U13,IDs and weights,0,0,0,0,IDs,W3,0,
W3W2STU,W3 Student Longitudinal Analytic Weight F1-U13,IDs and weights,0,0,0,0,IDs,W3,0,
W3HSTRANS,W3 Student High School Transcript Weight,IDs and weights,0,0,0,0,IDs,W3,0,
W3STUDENTTR,W3 High school transcript and 2013 Update weight,IDs and weights,0,0,0,0,IDs,W3,0,
W3W1STUTR,"W3 High school transcript, base year and 2013 Update weight",IDs and weights,0,0,0,0,IDs,W3,0,
W3W1W2STUTR,"W3 High school transcript, base year, first follow-up, and 2013 Update weight",IDs and weights,0,0,0,0,IDs,W3,0,
W3W2STUTR,"W3 High school transcript, first follow-up, and 2013 Update weight",IDs and weights,0,0,0,0,IDs,W3,0,
W4STUDENT,Second follow-up student analytic weight,IDs and weights,0,0,0,0,IDs,W4,0,
W4W1STU,"Student Longitudinal Analytic Weight, BY-F2",IDs and weights,0,0,0,0,IDs,W4,0,
W4W1STUP1,"Student Longitudinal Analytic Weight with BY Parent, BY-F2",IDs and weights,0,0,0,0,IDs,W4,0,
W4W1STUP1P2,"Student Longitudinal Analytic Weight with BY and F1 Parent, BY-F2",IDs and weights,0,0,0,0,IDs,W4,0,
W4W1W2W3STU,"Second follow-up, base year, first follow-up, and 2013 Update weight",IDs and weights,0,0,0,0,IDs,W4,0,
W3W1MATHTCH,"Student Longitudinal Analytic Weight with BY Math Teacher, BY-U13",IDs and weights,0,0,0,0,IDs,W3,0,
W3W1SCITCH,"Student Longitudinal Analytic Weight with BY Science Teacher, BY-U13",IDs and weights,0,0,0,0,IDs,W3,0,
X1SEX,X1 Student's sex,BY student level composites,1,1,0,0,BY,X1,0,
X1RACE,X1 Student's race/ethnicity-composite,BY student level composites,1,1,0,0,BY,X1,0,
X1HISPANIC,X1 Student is Hispanic/Latino/Latina-composite,BY student level composites,0,0,0,0,BY,X1,0,
X1WHITE,X1 Student is White-composite,BY student level composites,0,0,0,0,BY,X1,0,
X1BLACK,X1 Student is Black or African American-composite,BY student level composites,0,0,0,0,BY,X1,0,
X1ASIAN,X1 Student is Asian-composite,BY student level composites,0,0,0,0,BY,X1,1,
X1PACISLE,X1 Student is Native Hawaiian/Pacific Islander-composite,BY student level composites,0,0,0,0,BY,X1,1,
X1AMINDIAN,X1 Student is American Indian/Alaska Native-composite,BY student level composites,0,0,0,0,BY,X1,1,
X1HISPTYPE,X1 Student's Hispanic/Latino/Latina subgroup-composite,BY student level composites,0,0,0,0,BY,X1,1,
X1ASIANTYPE,X1 Student's Asian subgroup-composite,BY student level composites,0,0,0,0,BY,X1,1,
X1NATIVELANG,X1 Student's native language,BY student level composites,0,0,0,0,BY,X1,1,
X1DUALLANG,X1 Student dual-first language indicator,BY student level composites,1,1,0,0,BY,X1,0,9
X1STDOB,X1 Student's date of birth (YYYYMM),BY student level composites,1,0,0,0,BY,X1,0,9
X1TXMTH,X1 Mathematics theta score,BY student level composites,1,0,0,0,BY,X1,0,
X1TXMSEM,X1 Mathematics standard error of measurement for raw theta score,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMSCR,X1 Mathematics IRT-estimated number right score (of 72 base year items),BY student level composites,0,0,0,0,BY,X1,0,
X1TXMTSCOR,X1 Mathematics standardized theta score,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMQUINT,X1 Mathematics quintile score,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMPROF1,X1 Mathematics proficiency probability score: level 1,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMPROF2,X1 Mathematics proficiency probability score: level 2,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMPROF3,X1 Mathematics proficiency probability score: level 3,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMPROF4,X1 Mathematics proficiency probability score: level 4,BY student level composites,0,0,0,0,BY,X1,0,
X1TXMPROF5,X1 Mathematics proficiency probability score: level 5,BY student level composites,0,0,0,0,BY,X1,0,
X1MACC,X1 Mathematics assessment accommodations,BY student level composites,1,1,0,0,BY,X1,0,8
X1PARRESP,X1 Whether parent questionnaire respondent is Parent 1,BY student level composites,0,0,0,0,BY,X1,0,
X1P1RELATION,X1 Parent 1: relationship to 9th grader,BY student level composites,0,0,0,0,BY,X1,0,
X1PAR1EDU,X1 Parent 1: highest level of education,BY student level composites,1,1,0,0,BY,X1,0,8
X1PAR1EMP,X1 Parent 1: employment status,BY student level composites,0,0,0,0,BY,X1,0,
X1PAR1OCC2,X1 Parent 1: current/most recent occupation: 2-digit ONET code,BY student level composites,0,0,0,0,BY,X1,0,
X1PAR1OCC6,X1 Parent 1: current/most recent occupation: 6-digit ONET code,BY student level composites,0,0,0,0,BY,X1,1,
X1PAR1OCC_STEM1,X1 Parent 1: current/most recent occupation: STEM code 1 (sub-domain),BY student level composites,0,0,0,0,BY,X1,0,
X1PAR1OCC_STEM2,X1 Parent 1: current/most recent occupation: STEM code 2 (type of occupation),BY student level composites,0,0,0,0,BY,X1,1,
X1PAR1RACE,X1 Parent 1: race/ethnicity,BY student level composites,0,0,0,0,BY,X1,0,
X1P2RELATION,X1 Parent 2: spouse's relationship to 9th grader,BY student level composites,0,0,0,0,BY,X1,0,
X1PAR2EDU,X1 Parent 2: highest level of education,BY student level composites,0,0,0,0,BY,X1,0,
X1PAR2EMP,X1 Parent 2: employment status,BY student level composites,0,0,0,0,BY,X1,0,
